lad19cd,lad19nm,welsh_daily_percent,welsh_weekly_percent,welsh_lessoften_percent
W06000001,Isle of Anglesey,53.60736,5.705594,6.9001339999999995
W06000002,Gwynedd,65.449299,4.742873,3.728162
W06000003,Conwy,26.766923,5.749819,8.111974
W06000004,Denbighshire,20.228057,7.694735,7.882969
W06000005,Flintshire,8.08687,3.628647,7.260610000000001
W06000006,Wrexham,9.053577,7.23254,7.024632
W06000008,Ceredigion,43.609797,5.962563,7.220407000000001
W06000009,Pembrokeshire,15.016213,4.624201,7.200849000000001
W06000010,Carmarthenshire,34.980779,6.923622,7.723725
W06000011,Swansea,8.910558,4.679534,5.621068
W06000012,Neath Port Talbot,9.947056,3.700222,6.4340839999999995
W06000013,Bridgend,5.678739,3.551761,5.06177
W06000014,Vale of Glamorgan,8.310285,4.399277,6.055494
W06000015,Cardiff,11.49566,4.720836,5.025587000000001
W06000016,Rhondda Cynon Taf,7.853353,4.23998,5.317068
W06000018,Caerphilly,10.799782,3.398573,6.818924000000001
W06000019,Blaenau Gwent,5.554645,3.361395,5.278999
W06000020,Torfaen,8.047647999999999,5.17197,5.3196129999999995
W06000021,Monmouthshire,5.443732,4.32081,6.628792
W06000022,Newport,9.084146,4.591787,3.5050269999999997
W06000023,Powys,14.759818,4.713458,7.626341
W06000024,Merthyr Tydfil,7.851458999999999,*,5.287927
