ladcd,ladnm,MHOL_true,patients_total,MHOL_pct
E07000080,Forest of Dean,637,4713,13.515807341396139
W06000001,Isle of Anglesey,9599,42001,22.85421775672008
W06000002,Gwynedd,10138,77650,13.056020605280102
W06000003,Conwy,11243,101375,11.090505548705302
W06000004,Denbighshire,12553,93724,13.393581153173148
W06000005,Flintshire,21389,151998,14.071895682837932
W06000006,Wrexham,17586,96977,18.134196768305888
W06000008,Ceredigion,4908,65646,7.476464674161411
W06000009,Pembrokeshire,16223,92322,17.572192976755268
W06000010,Carmarthenshire,10003,158066,6.3283691622486815
W06000011,Swansea,19335,185111,10.445084300770889
W06000012,Neath Port Talbot,8535,114002,7.486710759460361
W06000013,Bridgend,19268,106168,18.148594680129605
W06000014,Vale of Glamorgan,19021,118948,15.991021286612636
W06000015,Cardiff,27588,349686,7.889363600487294
W06000016,Rhondda Cynon Taf,9968,175488,5.680160466812546
W06000018,Caerphilly,24677,161036,15.323902729824388
W06000019,Blaenau Gwent,4710,65891,7.148168945683022
W06000020,Torfaen,12952,71879,18.019171106999263
W06000021,Monmouthshire,25062,85850,29.192778101339545
W06000022,Newport,16770,150510,11.142116802870241
W06000023,Powys,10316,104270,9.89354560276206
W06000024,Merthyr Tydfil,871,45808,1.9014146000698569
