"","","","","All ages ","","","","","","","","","","","All ages "
"","","","","Aged 0 to 15 ",".","Aged 0 to 15 ","Aged 16 to 64 ",".",".","Aged 16 to 64 ","Aged 65 and over ",".",".","Aged 65 and over ","."
"","","","","Aged 0 to 4 ","Aged 5 to 15 ",".","Aged 16 to 24 ","Aged 25 to 44 ","Aged 45 to 64 ",".","Aged 65 to 74 ","Aged 75 to 84 ","Aged 85 and over ",".","."
"United Kingdom ","Great Britain ","Wales ","",168703,394006,562709,346637,747570,829722,1923929,359535,210040,82418,651993,3138631
"","","Wales ","Isle of Anglesey ",3600,8455,12055,5834,14493,19587,39914,9993,5742,2257,17992,69961
"","","","Gwynedd ",5980,14871,20851,16737,26758,31661,75156,15115,8999,4057,28171,124178
"","","","Conwy ",5467,13542,19009,9745,23045,33228,66018,16648,10573,4933,32154,117181
"","","","Denbighshire ",5094,12177,17271,8570,19952,26578,55100,12853,7427,2679,22959,95330
"","","","Flintshire ",8289,20456,28745,14409,36708,43079,94196,18656,10393,3603,32652,155593
"","","","Wrexham ",7808,18443,26251,12684,33581,36651,82916,15103,8534,3322,26959,136126
"","","","Powys ",6008,15190,21198,11350,25028,39096,75474,19609,11453,4713,35775,132447
"","","","Ceredigion ",3108,7842,10950,11399,13389,19059,43847,10034,5663,2498,18195,72992
"","","","Pembrokeshire ",6017,15406,21423,11100,25344,35058,71502,17638,10239,4253,32130,125055
"","","","Carmarthenshire ",9615,23605,33220,17260,40450,52627,110337,24281,14228,5502,44011,187568
"","","","Swansea ",12578,29423,42001,34662,61232,60522,156416,25745,15799,6505,48049,246466
"","","","Neath Port Talbot ",7606,17346,24952,14463,34797,39164,88424,16601,9413,3516,29530,142906
"","","","Bridgend ",7986,18123,26109,13792,35846,39750,89388,16353,9686,3340,29379,144876
"","","","Vale of Glamorgan ",7216,17235,24451,12498,31270,36255,80023,15362,8905,3424,27691,132165
"","","","Cardiff ",21505,45920,67425,61707,104791,78986,245484,27767,16272,7300,51339,364248
"","","","Rhondda Cynon Taf ",13622,31233,44855,26102,60758,62422,149282,26061,14745,5188,45994,240131
"","","","Merthyr Tydfil ",3718,7835,11553,6063,15364,15979,37406,6369,3602,1253,11224,60183
"","","","Caerphilly ",10197,23882,34079,18122,45342,48484,111948,20026,11312,3654,34992,181019
"","","","Blaenau Gwent ",3739,8450,12189,6957,17349,19286,43592,7810,4592,1530,13932,69713
"","","","Torfaen ",5207,12043,17250,9405,22424,24997,56826,10469,6078,2426,18973,93049
"","","","Monmouthshire ",4175,11287,15462,8227,18680,28349,55256,12719,7515,3190,23424,94142
"","","","Newport ",10168,21242,31410,15551,40969,38904,95424,14323,8870,3275,26468,153302


