lad18nm,areaID,communityCohesion,deprivation_30
Blaenau Gwent,W06000019,3.967901235,64
Bridgend,W06000013,4.11954023,40
Caerphilly,W06000018,3.960655738,38
Cardiff,W06000015,3.989563567,35
Carmarthenshire,W06000010,4.009724473,27
Ceredigion,W06000008,4.095652174,7
Conwy,W06000003,4.156171285,20
Denbighshire,W06000004,4.11898017,22
Flintshire,W06000005,4.042016807,20
Gwynedd,W06000002,4.235988201,8
Isle of Anglesey,W06000001,4.074433657,18
Merthyr Tydfil,W06000024,4.151898734,50
Monmouthshire,W06000021,4.206165703,5
Neath Port Talbot,W06000012,4.184381779,45
Newport,W06000022,3.875464684,40
Pembrokeshire,W06000009,4.061926606,15
Powys,W06000023,4.155890805,11
Rhondda Cynon Taf,W06000016,4.03515625,45
Swansea,W06000011,3.905183312,31
Torfaen,W06000020,3.914746544,42
Vale of Glamorgan,W06000014,4.064377682,19
Wrexham,W06000006,3.880597015,28
