lad19cd,lad19nm,pop_density_persqkm,population_count,has_internet_percent,vulnerable_pct,over_65_count,use_internet_daily_percent,use_welsh_percent,eth_white_percent,eth_asian_percent,eth_black_percent,eth_mixed_percent,eth_other_percent,wimd_20pct_percent,belong_percent
W06000001,Isle of Anglesey,98.355065,69961,85.991,50.0,17992,88.31,60.507494,98.99999999999999,0.6,0.0,0.3,0.0,13.636363636363635,73.8
W06000002,Gwynedd,48.986848,124178,87.45299999999999,40.0,28171,93.05600000000001,69.177461,98.0,1.2,0.0,0.6,0.3,5.47945205479452,81.7
W06000003,Conwy,104.083636,117181,87.73299999999999,48.5,32154,94.385,34.878896999999995,98.8,0.6000000000000001,0.0,0.2,0.2,12.676056338028168,78.3
W06000004,Denbighshire,113.929531,95330,89.819,42.9,22959,90.881,28.111026,97.49999999999999,1.4,0.3,0.8999999999999999,0.0,15.517241379310345,79.6
W06000005,Flintshire,355.6491910000001,155593,88.58200000000002,41.2,32652,95.98200000000003,15.347480000000001,97.29999999999998,1.0,0.0,0.4,1.2,10.869565217391305,75.0
W06000006,Wrexham,270.21249,136126,85.72400000000002,41.3,26959,92.73000000000002,16.078209,95.7,2.0999999999999996,0.5,0.8999999999999999,0.5,11.76470588235294,68.9
W06000008,Ceredigion,40.878061,72992,87.706,46.2,18195,90.618,50.830204,98.60000000000001,0.8999999999999999,0.0,0.6,0.0,4.3478260869565215,76.8
W06000009,Pembrokeshire,77.25750500000002,125055,87.42299999999999,47.2,32130,92.705,22.217062000000002,98.10000000000001,1.0999999999999999,0.0,0.5,0.2,11.267605633802818,78.5
W06000010,Carmarthenshire,79.13242199999998,187568,88.37800000000001,47.4,44011,92.57800000000003,42.704504,98.6,0.7,0.2,0.0,0.7,10.714285714285714,73.2
W06000011,Swansea,649.177117,246466,88.28600000000002,43.0,48049,93.42900000000003,14.531626,93.7,3.5,0.9,0.6,1.5,23.64864864864865,68.69999999999999
W06000012,Neath Port Talbot,323.824238,142906,82.51799999999999,49.5,29530,92.00299999999999,16.381140000000002,99.1,0.8,0.0,0.0,0.0,32.967032967032964,79.4
W06000013,Bridgend,577.8163139999998,144876,85.311,43.1,29379,93.539,10.740509,99.0,0.0,0.2,0.5,0.2,20.454545454545457,75.9
W06000014,Vale of Glamorgan,399.19379,132165,92.43700000000001,42.6,27691,93.92400000000002,14.365779,97.4,1.2000000000000002,0.6000000000000001,0.4,0.2,12.658227848101266,74.0
W06000015,Cardiff,2585.189286,364248,94.018,32.5,51339,95.62400000000001,16.521247000000002,86.50000000000001,6.5,2.6,1.3,3.3,27.570093457943923,73.5
W06000016,Rhondda Cynon Taf,566.146144,240131,88.165,38.5,45994,93.72800000000001,13.170421000000001,97.4,1.3,0.30000000000000004,0.7,0.3,28.57142857142857,74.0
W06000018,Caerphilly,652.584341,181019,89.31500000000003,40.4,34992,94.37700000000001,17.618706000000003,98.7,0.5,0.0,0.5,0.4,23.636363636363637,73.2
W06000019,Blaenau Gwent,641.169378,69713,84.58600000000001,39.1,13932,90.464,10.833644,99.7,0.2,0.0,0.0,0.0,44.680851063829785,71.30000000000001
W06000020,Torfaen,740.254275,93049,91.22399999999999,41.5,18973,94.80300000000001,13.367261,98.7,1.2,0.0,0.2,0.0,31.666666666666664,65.9
W06000021,Monmouthshire,110.874256,94142,92.678,39.4,23424,96.167,12.072524,98.10000000000001,1.0,0.2,0.4,0.4,1.7857142857142856,79.2
W06000022,Newport,804.6310030000002,153302,91.49700000000001,36.6,26468,95.82500000000002,12.589173,89.5,3.6000000000000005,3.2,0.8999999999999999,3.0,34.73684210526316,67.3
W06000023,Powys,25.565561,132447,84.346,44.3,35775,92.26800000000001,22.386159,98.69999999999999,0.7000000000000001,0.1,0.30000000000000004,0.4,6.329113924050633,77.9
W06000024,Merthyr Tydfil,540.017928,60183,84.649,32.3,11224,93.25500000000002,13.139385999999998,98.5,0.6,0.0,0.0,0.9,30.555555555555557,76.3
