lad18nm,areaID,vulnerable_pct,pop_density,pop_elderly,pop
Blaenau Gwent,W06000019,39.1,641.2,19.9847948,"69,713"
Bridgend,W06000013,43.1,577.8,20.27872111,"144,876"
Caerphilly,W06000018,40.4,652.6,19.33056751,"181,019"
Cardiff,W06000015,32.5,"2,585.20",14.09451802,"364,248"
Carmarthenshire,W06000010,47.4,79.1,23.46402371,"187,568"
Ceredigion,W06000008,46.2,40.9,24.9273893,"72,992"
Conwy,W06000003,48.5,104.1,27.43960198,"117,181"
Denbighshire,W06000004,42.9,113.9,24.08370922,"95,330"
Flintshire,W06000005,41.2,355.6,20.98551991,"155,593"
Gwynedd,W06000002,40,49,22.68598302,"124,178"
Isle of Anglesey,W06000001,50,98.4,25.71718529,"69,961"
Merthyr Tydfil,W06000024,32.3,540,18.64978482,"60,183"
Monmouthshire,W06000021,39.4,110.9,24.8815619,"94,142"
Neath Port Talbot,W06000012,49.5,323.8,20.66393293,"142,906"
Newport,W06000022,36.6,804.6,17.26526725,"153,302"
Pembrokeshire,W06000009,47.2,77.3,25.69269521,"125,055"
Powys,W06000023,44.3,25.6,27.01080432,"132,447"
Rhondda Cynon Taf,W06000016,38.5,566.1,19.15371193,"240,131"
Swansea,W06000011,43,649.2,19.49518392,"246,466"
Torfaen,W06000020,41.5,740.3,20.39033198,"93,049"
Vale of Glamorgan,W06000014,42.6,399.2,20.9518405,"132,165"
Wrexham,W06000006,41.3,270.2,19.80444588,"136,126"
