lad18nm,areaID,language
Blaenau Gwent,W06000019,6.2
Bridgend,W06000013,4.8
Caerphilly,W06000018,11
Cardiff,W06000015,11.3
Carmarthenshire,W06000010,36.5
Ceredigion,W06000008,44.1
Conwy,W06000003,25.4
Denbighshire,W06000004,20
Flintshire,W06000005,8.8
Gwynedd,W06000002,65.1
Isle of Anglesey,W06000001,53.4
Merthyr Tydfil,W06000024,7.3
Monmouthshire,W06000021,5.9
Neath Port Talbot,W06000012,10.4
Newport,W06000022,9
Pembrokeshire,W06000009,15.1
Powys,W06000023,14.7
Rhondda Cynon Taf,W06000016,8.6
Swansea,W06000011,10.1
Torfaen,W06000020,7.6
Vale of Glamorgan,W06000014,8.3
Wrexham,W06000006,9.6
